城市类别,变量,系数,稳健SE,t值,p值,显著性,R²,N
核心城市,lnPGDP,-0.6826,0.1545,-4.42,0.0,***,0.7778,140
核心城市,lnPGDP²,0.0501,0.0111,4.5,0.0,***,0.7778,140
核心城市,产业结构,0.0191,0.0081,2.35,0.0205,**,0.7778,140
核心城市,ln人口,0.4829,0.3419,1.41,0.1602,,0.7778,140
核心城市,ln电力,0.1794,0.0756,2.37,0.0191,**,0.7778,140
工业型城市,lnPGDP,-0.5951,0.1312,-4.54,0.0,***,0.7378,341
工业型城市,lnPGDP²,0.0455,0.0099,4.59,0.0,***,0.7378,341
工业型城市,产业结构,0.0151,0.0043,3.5,0.0005,***,0.7378,341
工业型城市,ln人口,0.3051,0.1218,2.5,0.0128,**,0.7378,341
工业型城市,ln电力,0.1453,0.0639,2.27,0.0238,**,0.7378,341
生态服务型城市,lnPGDP,-1.082,0.3737,-2.89,0.0041,***,0.588,259
生态服务型城市,lnPGDP²,0.0814,0.0277,2.94,0.0036,***,0.588,259
生态服务型城市,产业结构,0.0033,0.006,0.55,0.5851,,0.588,259
生态服务型城市,ln人口,0.2815,0.1986,1.42,0.1577,,0.588,259
生态服务型城市,ln电力,-0.1482,0.1193,-1.24,0.2154,,0.588,259
